Method Code,Method Code Description,Class,Source,Type,Subtype
AFCV,"Areal aggregate, Federal agency, Coefficient, Consumptive use rate",A,F,C,V
SSCV,"Reported site-specific, State agency, Coefficient, Consumptive use rate",S,S,C,V
ASCV,"Areal aggregate, State agency, Coefficient, Consumptive use rate",A,S,C,V
ESCV,"Estimated, State agency, Coefficient, Consumptive use rate",E,S,C,V
SLCV,"Reported site-specific, Other government agency, Coefficient, Consumptive use rate",S,L,C,V
ALCV,"Areal aggregate, Other government agency, Coefficient, Consumptive use rate",A,L,C,V
SNCV,"Reported site-specific, NGO or academic institution, Coefficient, Consumptive use rate",S,N,C,V
ANCV,"Areal aggregate, NGO or academic institution, Coefficient, Consumptive use rate",A,N,C,V
SUCF,"Reported site-specific, Water user, Coefficient, Facility characteristic",S,U,C,F
AUCF,"Areal aggregate, Water user, Coefficient, Facility characteristic",A,U,C,F
SGCF,"Reported site-specific, USGS, Coefficient, Facility characteristic",S,G,C,F
AGCF,"Areal aggregate, USGS, Coefficient, Facility characteristic",A,G,C,F
EGCF,"Estimated, USGS, Coefficient, Facility characteristic",E,G,C,F
SFCF,"Reported site-specific, Federal agency, Coefficient, Facility characteristic",S,F,C,F
AFCF,"Areal aggregate, Federal agency, Coefficient, Facility characteristic",A,F,C,F
SSCF,"Reported site-specific, State agency, Coefficient, Facility characteristic",S,S,C,F
ASCF,"Areal aggregate, State agency, Coefficient, Facility characteristic",A,S,C,F
ESCF,"Estimated, State agency, Coefficient, Facility characteristic",E,S,C,F
SLCF,"Reported site-specific, Other government agency, Coefficient, Facility characteristic",S,L,C,F
ALCF,"Areal aggregate, Other government agency, Coefficient, Facility characteristic",A,L,C,F
SNCF,"Reported site-specific, NGO or academic institution, Coefficient, Facility characteristic",S,N,C,F
ANCF,"Areal aggregate, NGO or academic institution, Coefficient, Facility characteristic",A,N,C,F
NZZZ,"Unknown, Not applicable, Not applicable, Not applicable",N,Z,Z,Z
EGHU,"Estimated, USGS, Previous water-use compilation, Unmodified",E,G,H,U
EGHM,"Estimated, USGS, Previous water-use compilation, Modified",E,G,H,M
