"Citation:  Lovelace, J.K., Nielsen, M.G., Read, A.L., and Murphy, C.J., 2020, Estimated Groundwater Withdrawals from Principal Aquifers in the United States—County Level Data for 2015: U.S. Geological Survey data release, https://doi.org/10.5066/P9EI0KMR.
[--, no data]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_FIPS,CountyAquifer,CountyAquifer Name,PS-GWPop,PS-GWPop-M,PS-WGWFr,PS-WGWFr-M,PS-WGWSa,PS-WGWSa-M,PS-WGWTo,DO-WGWFr,DO-WGWFr-M,DO-SSPop,DO-SSPop-M,IN-WGWFr,IN-WGWFr-M,IN-WGWSa,IN-WGWSa-M,IN-WGWTo,PO-WGWFr,PO-WGWFr-M,PO-WGWSa,PO-WGWSa-M,PO-WGWTo,PC-WGWFr,PC-WGWFr-M,PC-WGWSa,PC-WGWSa-M,PC-WGWTo,PT-WGWFr,PT-WGWSa,PT-WGWTo,MI-WGWFr,MI-WGWFr-M,MI-WGWSa,MI-WGWSa-M,MI-WGWTo,LI-WGWFr,LI-WGWFr-M,AQ-WGWFr,AQ-WGWFr-M,AQ-WGWSa,AQ-WGWSa-M,AQ-WGWTo,IC-WGWFr,IC-WGWFr-M,IG-WGWFr,IG-WGWFr-M,IR-WGWFr,IR-WGWFr-M,IT-WGWFr,TO-WGWFr,TO-WGWSa,TO-WGWTo
Alabama,1,01-013-S100MSEMBM,AL-Butler County-Mississippi embayment aquifer system,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-013-S100SECSLP,AL-Butler County-Southeastern Coastal Plain aquifer system,--,--,2.28,EGAM,0,EGAM,2.28,0.27,EGAM,3.348,EGAM,0.2,EGAM,0,EGAM,0.2,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.13,EGAM,0,EGAM,0,EGAM,0,0.01,EGAM,0,EGAM,--,--,0.01,2.89,0,2.89
Alabama,1,01-015-N400PDMBRX,AL-Calhoun County-Piedmont and Blue Ridge crystalline-rock aquifers,--,--,0,EGAM,0,EGAM,0,0.06,EGAM,0.773,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0.06,0,0.06
Alabama,1,01-015-N500VLYRDG,AL-Calhoun County-Valley and Ridge aquifers,--,--,22.47,EGAM,0,EGAM,22.47,0.39,EGAM,5.409,EGAM,1.15,EGAM,0,EGAM,1.15,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.06,EGAM,0,EGAM,0.06,0.15,EGAM,0.12,EGAM,0,EGAM,0.12,0,EGAM,0,EGAM,--,--,0,24.34,0,24.34
Alabama,1,01-015-N9999OTHER,AL-Calhoun County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-017-N400PDMBRX,AL-Chambers County-Piedmont and Blue Ridge crystalline-rock aquifers,--,--,0,EGAM,0,EGAM,0,0.48,EGAM,8.34,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.09,EGAM,0,EGAM,0,EGAM,0,0.07,EGAM,0,EGAM,--,--,0.07,0.64,0,0.64
Alabama,1,01-017-N9999OTHER,AL-Chambers County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-019-N100ALLUVL,AL-Cherokee County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-019-N500VLYRDG,AL-Cherokee County-Valley and Ridge aquifers,--,--,2.43,EGAM,0,EGAM,2.43,0.49,EGAM,8.113,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.16,EGAM,0.51,EGAM,0,EGAM,0.51,0,EGAM,0,EGAM,--,--,0,3.59,0,3.59
Alabama,1,01-019-N9999OTHER,AL-Cherokee County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
